NAME	FECHA	LAYER	TIPO_FORES	SUP_m2	ALT_DOM	AB	VOL_m3/ha	C11	C12r	C12i	C13r	C13i	C22	C23r	C23i	C33	ang	C11_std	C12r_std	C12i_std	C13r_std	C13i_std	C22_std	C23r_std	C23i_std	C33_std	ang_std
CENTRO50	2019/03/15	parcela 49_50	ÑIRE	200	3.1	4	8	0.569750308990479	-0.295084208250046	-0.0537688136100769	0.153573125600815	0.168242335319519	0.784727394580841	-0.0794574171304703	0.0636642873287201	0.38380429148674	21.8768367767334	0.365797936916351	0.403043687343597	0.411588490009308	0.20884607732296	0.203327551484108	0.569181561470032	0.24144347012043	0.0954188108444214	0.277528464794159	0.232626035809517
CENTRO49	2019/03/15	parcela 49_50	ÑIRE	200	4.6	2	6	1.34259426593781	-0.333859443664551	-0.412030786275864	0.634993314743042	0.13432765007019	0.437941461801529	-0.287906318902969	0.134877786040306	0.810264050960541	22.856424331665	0.645871102809906	0.402958750724793	0.365468144416809	0.2374597042799	0.215541541576386	0.194537073373795	0.248929366469383	0.0842990279197693	0.0480563305318356	0.51745730638504
CENTRO51	2019/03/16	parcela 51_52	ÑIRE	200	3.3	3	7	0.253837585449219	0.00777203775942326	0.0846592709422112	0.0303069334477186	-0.100905038416386	0.266899317502975	-0.0119416685774922	-0.0150402886793017	0.377951949834824	24.3808078765869	0.0102173546329141	0.0167632102966309	0.0171532724052668	0.033686775714159	0.00888930633664131	0.0482634715735912	0.00223271548748016	0.0253377165645361	0.0433095656335354	0.0987934619188309
CENTRO53	2019/04/12	parcela 53_54	ÑIRE	200	3.5	4	9	0.431420385837555	0.0424271374940872	0.0957106798887253	0.127932116389275	0.0936398282647133	0.294895619153976	0.0020973477512598	0.0822594240307808	0.363250970840454	21.597785949707	0.0974494814872742	0.0356547757983208	0.065764494240284	0.228326439857483	0.154311314225197	0.0588283985853195	0.0456469804048538	0.148250818252563	0.0468169860541821	0.548766374588013
CENTRO54	2019/04/12	parcela 53_54	ÑIRE	200	4.2	6	16	0.740899324417114	-0.153404533863068	-0.0346679948270321	0.355946868658066	-0.053073525428772	0.366830140352249	0.173263907432556	0.037492249161005	0.607336342334747	24.1366672515869	0.382504761219025	0.398172110319138	0.162683740258217	0.132346048951149	0.234488129615784	0.319100320339203	0.132428675889969	0.151663661003113	0.331256568431854	0.158669203519821
CENTRO52	2019/04/12	parcela 53_54	ÑIRE	200	5.2	10	31	0.170456990599632	-0.0162752047181129	-0.0142116071656346	0.0813816264271736	-0.0170392971485853	0.0345269702374935	-0.00591343827545643	0.015626909211278	0.137832462787628	21.7782230377197	0.0435268245637417	0.00667289784178138	0.0066180587746203	0.0416846349835396	0.00960060767829418	0.00171812216285616	0.00123455631546676	0.010239121504128	0.0406447164714336	0.554479897022247
CENTRO5	2018/11/22	parcela 5_6	ÑIRE	200	9.9	16	69	0.121339023113251	0.00854599848389626	-0.00881270319223404	0.0410000421106815	0.0153277544304729	0.139872387051582	0.0315988883376122	0.0216837152838707	0.142978742718697	21.8345432281494	0.0216574016958475	0.019808454439044	0.00565280299633741	0.0197392404079437	0.00671102479100227	0.0437219589948654	0.0204157792031765	0.000976075942162424	0.0317200720310211	0.511407375335693
CENTRO6	2018/11/22	parcela 5_6	ÑIRE	200	7	32	142	0.0928256884217262	0.0122992433607578	0.0181467160582542	0.0163354948163033	-0.0132584953680635	0.110555194318295	0.0136717818677425	0.00635713338851929	0.0849425047636032	19.3263359069824	0.0111723393201828	0.00153166998643428	0.00478937337175012	0.0130100725218654	0.00710698124021292	0.0333854816854	0.0133240297436714	0.00299836951307952	0.0114807682111859	0.502301037311554
CENTRO7	2018/11/12	parcela 7_8	ÑIRE	200	7.2	8	41	0.137172639369965	-0.00381062063388526	0.0295910611748695	0.0378975346684456	0.00306361122056842	0.0923151075839996	0.0218036975711584	-0.0220526549965143	0.114516027271748	25.8007354736328	0.0104756485670805	0.0139722907915711	0.00779689755290747	0.0185638330876827	0.0151406349614263	0.0191428549587727	0.0111798420548439	0.00906104408204556	0.00930053740739822	0.684862077236176
CENTRO8	2018/11/12	parcela 7_8	ÑIRE	200	7.6	20	99	0.156228244304657	0.013026918284595	-0.000607769703492522	0.0709684044122696	0.00333011569455266	0.0526324510574341	-0.00193861196748912	-0.0083724046126008	0.0886705666780472	19.7641544342041	0.0381039641797543	0.00514695746824145	0.0145074874162674	0.028245460242033	0.00400735717266798	0.00506513006985188	0.0047663445584476	0.00820235256105661	0.0207829996943474	1.2910099029541
CENTRO9	2018/11/13	parcela 9_10	ÑIRE	200	9.1	24	111	0.0811367779970169	-0.00152478145901114	0.00750009529292584	0.0186974387615919	-0.00853731483221054	0.0527964271605015	-0.0150347510352731	-0.00259922654367983	0.0494303032755852	17.7586860656738	0.0247650798410177	0.00682920403778553	0.00982441380620003	0.00550731550902128	0.0108275972306728	0.020974662154913	0.0125507572665811	0.00313964043743908	0.016275480389595	0.681360840797424
CENTRO10	2018/11/13	parcela 9_10	ÑIRE	200	8	61	9.3	0.0952979549765587	-0.0123715298250318	0.0134012205526233	0.0420496165752411	-0.0101315574720502	0.0800030678510666	-0.0206468515098095	-0.00812537223100662	0.0618117786943913	16.1993503570557	0.0258529875427485	0.00296964147128165	0.0150240529328585	0.0188856087625027	0.00110561458859593	0.0127873858436942	0.00162714440375566	0.00324160023592412	0.0292049366980791	0.194885239005089
CENTRO32	2019/03/21	parcela 31_32	ÑIRE	200	4.8	14	43	0.15942357480526	-0.0293827150017023	0.032409343868494	0.0576916038990021	0.00278975907713175	0.087574727833271	-0.00721198692917824	-0.0151857063174248	0.132152363657951	28.1103515625	0.0156564470380545	0.00434516789391637	0.00565568869933486	0.00339065282605588	0.00536788906902075	0.00723750190809369	0.00162194459699094	0.00176941126119345	0.0137039320543408	0.426911175251007
CENTRO18	2019/01/21	parcela 17_18	ÑIRE	200	13	13	38	0.195115640759468	-0.0220728889107704	0.029883274808526	0.122735917568207	-0.0374385602772236	0.0785568058490753	-0.00262207165360451	-0.000550501339603216	0.234738528728485	25.3448314666748	0.0463577769696713	0.00558398058637977	0.00537887727841735	0.0283972825855017	0.0240642391145229	0.00247707078233361	0.00283216522075236	0.00751907983794808	0.0291485879570246	1.1633403301239
